,comb,obj,obj_rand,GLCabcpp,GLCptspp,HEX1,PGI,PFK,FBA,TPI,GAPD,PGK,PGM,ENO,PYK
205,"('HEX1', 'GAPD', 'PGM')",6.128601626962401,5.792210821055049,0,0,1,0,0,0,0,1,0,1,0,0
206,"('HEX1', 'GAPD', 'ENO')",6.128601626962401,5.060690347879528,0,0,1,0,0,0,0,1,0,0,1,0
207,"('HEX1', 'GAPD', 'PYK')",6.220634501801112,6.0302255839821175,0,0,1,0,0,0,0,1,0,0,0,1
208,"('HEX1', 'PGK', 'PGM')",6.128601626962399,5.635676692715841,0,0,1,0,0,0,0,0,1,1,0,0
209,"('HEX1', 'PGK', 'ENO')",6.128601626962399,4.925047896592491,0,0,1,0,0,0,0,0,1,0,1,0
210,"('HEX1', 'PGK', 'PYK')",6.220634501801112,6.5776153477102834,0,0,1,0,0,0,0,0,1,0,0,1
211,"('HEX1', 'PGM', 'ENO')",6.846287701371005,8.061734397048795,0,0,1,0,0,0,0,0,0,1,1,0
212,"('HEX1', 'PGM', 'PYK')",6.846287701371005,6.461155014724236,0,0,1,0,0,0,0,0,0,1,0,1
213,"('HEX1', 'ENO', 'PYK')",6.846287701371005,6.019609178194224,0,0,1,0,0,0,0,0,0,0,1,1
214,"('PGI', 'PFK', 'FBA')",8.47178754367647,7.709979993951934,0,0,0,1,1,1,0,0,0,0,0,0
215,"('PGI', 'PFK', 'TPI')",7.846666138154732,7.693237443316824,0,0,0,1,1,0,1,0,0,0,0,0
216,"('PGI', 'PFK', 'GAPD')",6.220634501801053,6.274405807314105,0,0,0,1,1,0,0,1,0,0,0,0
217,"('PGI', 'PFK', 'PGK')",6.220634501801053,7.407329162450492,0,0,0,1,1,0,0,0,1,0,0,0
218,"('PGI', 'PFK', 'PGM')",6.786087036370945,7.617200090585111,0,0,0,1,1,0,0,0,0,1,0,0
219,"('PGI', 'PFK', 'ENO')",6.786087036370945,7.301512490266538,0,0,0,1,1,0,0,0,0,0,1,0
220,"('PGI', 'PFK', 'PYK')",8.471787543676452,7.766471980936504,0,0,0,1,1,0,0,0,0,0,0,1
221,"('PGI', 'FBA', 'TPI')",7.846666138154749,9.03392626943946,0,0,0,1,0,1,1,0,0,0,0,0
222,"('PGI', 'FBA', 'GAPD')",6.220634501801038,5.655483816853988,0,0,0,1,0,1,0,1,0,0,0,0
