Comb,growthRate,minProd,maxProd,combList,ACALD,ALCD2x,GLCabcpp,GND,HEX1,LDH_D,PFL,PFK,PYK,TKT2
"ALCD2x, GND, HEX1",0.194807480315324,0.0645716400338758,0.0645994277307312,"['ALCD2x', 'GND', 'HEX1']",0,1,0,1,1,0,0,0,0,0
"ALCD2x, GND, LDH_D",0.194807480315401,0.0645716400338757,0.0645994277598131,"['ALCD2x', 'GND', 'LDH_D']",0,1,0,1,0,1,0,0,0,0
"ALCD2x, GND, PFL",0.189214056431859,0.062717629296256,0.0627477817686576,"['ALCD2x', 'GND', 'PFL']",0,1,0,1,0,0,1,0,0,0
"ALCD2x, GND, PFK",0.194807480315307,0.064571640033831,0.0645994277962549,"['ALCD2x', 'GND', 'PFK']",0,1,0,1,0,0,0,1,0,0
"ALCD2x, GND, PYK",0.194807480315394,0.064571640033831,0.0645994277639238,"['ALCD2x', 'GND', 'PYK']",0,1,0,1,0,0,0,0,1,0
"ALCD2x, GND, TKT2",,0.0,0.0,"['ALCD2x', 'GND', 'TKT2']",0,1,0,1,0,0,0,0,0,1
"ALCD2x, HEX1, LDH_D",0.194807480315159,0.0645716400339122,0.0645994278069091,"['ALCD2x', 'HEX1', 'LDH_D']",0,1,0,0,1,1,0,0,0,0
"ALCD2x, HEX1, PFL",0.189214056431637,0.0627176292963976,0.0627477815204136,"['ALCD2x', 'HEX1', 'PFL']",0,1,0,0,1,0,1,0,0,0
"ALCD2x, HEX1, PFK",0.194807480315387,0.0645716400336249,0.0645994278179162,"['ALCD2x', 'HEX1', 'PFK']",0,1,0,0,1,0,0,1,0,0
"ALCD2x, HEX1, PYK",0.194807480315324,0.0645716400336249,0.0645994278179162,"['ALCD2x', 'HEX1', 'PYK']",0,1,0,0,1,0,0,0,1,0
"ALCD2x, HEX1, TKT2",0.19160195688395,0.0635091321818608,0.0635291424234467,"['ALCD2x', 'HEX1', 'TKT2']",0,1,0,0,1,0,0,0,0,1
"ALCD2x, LDH_D, PFL",,0.0,0.0,"['ALCD2x', 'LDH_D', 'PFL']",0,1,0,0,0,1,1,0,0,0
"ALCD2x, LDH_D, PFK",0.194807480315547,0.0645716400338393,0.064599427779634,"['ALCD2x', 'LDH_D', 'PFK']",0,1,0,0,0,1,0,1,0,0
"ALCD2x, LDH_D, PYK",0.194807480315214,0.0645716400338594,0.0645994277358016,"['ALCD2x', 'LDH_D', 'PYK']",0,1,0,0,0,1,0,0,1,0
"ALCD2x, LDH_D, TKT2",0.191601956884061,0.0635091321818904,0.063529142444428,"['ALCD2x', 'LDH_D', 'TKT2']",0,1,0,0,0,1,0,0,0,1
