comb
"('PFL',)"
"('RPI',)"
"('TKT2',)"
"('RPE',)"
"('TALA',)"
"('ALCD2x',)"
"('LDH_D',)"
"('ACALD',)"
"('TKT1',)"
"('ACONTa',)"
"('PFL', 'RPI')"
"('PFL', 'TKT2')"
"('PFL', 'RPE')"
"('RPI', 'TKT2', 'TALA', 'LDH_D')"
"('RPI', 'TKT2', 'TALA', 'ACALD')"
"('RPI', 'TKT2', 'TALA', 'TKT1')"
"('RPI', 'TKT2', 'TALA', 'ACONTa')"
"('RPI', 'TKT2', 'ALCD2x', 'LDH_D')"
"('RPI', 'TKT2', 'ALCD2x', 'ACALD')"
"('RPI', 'TKT2', 'ALCD2x', 'TKT1')"
"('RPI', 'TKT2', 'ALCD2x', 'ACONTa')"
"('RPI', 'TKT2', 'LDH_D', 'ACALD')"
"('RPI', 'TKT2', 'LDH_D', 'TKT1')"
"('RPI', 'TKT2', 'LDH_D', 'ACONTa')"
"('RPI', 'TKT2', 'ACALD', 'TKT1')"
"('RPI', 'TKT2', 'ACALD', 'ACONTa')"
"('RPI', 'TKT2', 'TKT1', 'ACONTa')"
"('RPI', 'RPE', 'TALA', 'ALCD2x')"
"('RPI', 'RPE', 'TALA', 'LDH_D')"
"('RPI', 'RPE', 'TALA', 'ACALD')"
"('RPI', 'RPE', 'TALA', 'TKT1')"
"('RPI', 'RPE', 'TALA', 'ACONTa')"
"('RPI', 'RPE', 'ALCD2x', 'LDH_D')"
"('RPI', 'RPE', 'ALCD2x', 'ACALD')"
"('RPI', 'RPE', 'ALCD2x', 'TKT1')"
"('RPI', 'RPE', 'ALCD2x', 'ACONTa')"
"('RPI', 'RPE', 'LDH_D', 'ACALD')"
"('RPI', 'RPE', 'LDH_D', 'TKT1')"
"('RPI', 'RPE', 'LDH_D', 'ACONTa')"
"('RPI', 'RPE', 'ACALD', 'TKT1')"
"('RPI', 'RPE', 'ACALD', 'ACONTa')"
"('RPI', 'RPE', 'TKT1', 'ACONTa')"
"('RPI', 'TALA', 'ALCD2x', 'LDH_D')"
"('RPI', 'TALA', 'ALCD2x', 'ACALD')"
"('RPI', 'TALA', 'ALCD2x', 'TKT1')"
"('RPI', 'TALA', 'ALCD2x', 'ACONTa')"
"('RPI', 'TALA', 'LDH_D', 'ACALD')"
"('RPI', 'TALA', 'LDH_D', 'TKT1')"
"('RPI', 'TALA', 'LDH_D', 'ACONTa')"
"('RPI', 'TALA', 'ACALD', 'TKT1')"
"('RPI', 'TALA', 'ACALD', 'ACONTa')"
"('RPI', 'TALA', 'TKT1', 'ACONTa')"
"('RPI', 'ALCD2x', 'LDH_D', 'ACALD')"
"('RPI', 'ALCD2x', 'LDH_D', 'TKT1')"
"('RPI', 'ALCD2x', 'LDH_D', 'ACONTa')"
"('RPI', 'ALCD2x', 'ACALD', 'TKT1')"
"('RPI', 'ALCD2x', 'ACALD', 'ACONTa')"
"('RPI', 'ALCD2x', 'TKT1', 'ACONTa')"
"('RPI', 'LDH_D', 'ACALD', 'TKT1')"
"('RPI', 'LDH_D', 'ACALD', 'ACONTa')"
"('RPI', 'LDH_D', 'TKT1', 'ACONTa')"
"('RPI', 'ACALD', 'TKT1', 'ACONTa')"
"('TKT2', 'RPE', 'TALA', 'ALCD2x')"
"('TKT2', 'RPE', 'TALA', 'LDH_D')"
"('TKT2', 'RPE', 'TALA', 'ACALD')"
"('TKT2', 'RPE', 'TALA', 'TKT1')"
"('TKT2', 'RPE', 'TALA', 'ACONTa')"
"('TKT2', 'RPE', 'ALCD2x', 'LDH_D')"
"('TKT2', 'RPE', 'ALCD2x', 'ACALD')"
"('TKT2', 'RPE', 'ALCD2x', 'TKT1')"
"('TKT2', 'RPE', 'ALCD2x', 'ACONTa')"
"('TKT2', 'RPE', 'LDH_D', 'ACALD')"
"('TKT2', 'RPE', 'LDH_D', 'TKT1')"
"('TKT2', 'RPE', 'LDH_D', 'ACONTa')"
"('TKT2', 'RPE', 'ACALD', 'TKT1')"
"('TKT2', 'RPE', 'ACALD', 'ACONTa')"
"('TKT2', 'RPE', 'TKT1', 'ACONTa')"
"('TKT2', 'TALA', 'ALCD2x', 'LDH_D')"
"('TKT2', 'TALA', 'ALCD2x', 'ACALD')"
"('TKT2', 'TALA', 'ALCD2x', 'TKT1')"
"('TKT2', 'TALA', 'ALCD2x', 'ACONTa')"
"('TKT2', 'TALA', 'LDH_D', 'ACALD')"
"('TKT2', 'TALA', 'LDH_D', 'TKT1')"
"('TKT2', 'TALA', 'LDH_D', 'ACONTa')"
"('TKT2', 'TALA', 'ACALD', 'TKT1')"
"('TKT2', 'TALA', 'ACALD', 'ACONTa')"
"('TKT2', 'TALA', 'TKT1', 'ACONTa')"
"('TKT2', 'ALCD2x', 'LDH_D', 'ACALD')"
